id  |Liike 
1   |Tankosoutu
2   |Ylätalja      
3   |Alatalja     
4   |Hammer curl    
5   |Cable curl    
6   |Upright row    
7   |Penkki      
8   |Incl. penkki    
9   |Skullcrusher    
10  |Cable pressdown     
11  |Dumbbell lateral raise
12  |Cable lateral raise
13  |Hip thrust            
14  |Leg extension      
15  |Leg curl            
16  |Pohkeet            
17  |Kyykky            
18  |Maastaveto            
19  |Dumbbell penkki    
20  |Leuat lisäpainolla 
21  |Abs
22  |Lenkki
23  |Kavely
